WAGE,EDUC,EXPER,GENDER,FAM_STATUS,TENURE
10.0,0,3,male,MARRIED,2
3.5,0,2,female,alone,0
3.299999952316284,0,5,female,single,0
5.0,0,15,male,married,5
11.25,0,28,male,married,25
,0,13,male,nan,18
4.289999961853027,0,47,female,married,25
5.579999923706055,0,1,MALE,married,1
3.0,0,38,female,MARRIED,0
4.650000095367432,0,27,male,married,2
,0,3,female,MARRIED,0
7.5,0,18,male,married,5
3.3499999046325684,0,3,female,married,1
2.650000095367432,0,42,female,nan,10
,0,23,male,nan,8
7.0,0,6,male,married,5
3.2799999713897705,0,17,female,single,2
,0,14,female,single,4
2.900000095367432,0,1,female,nan,0
3.25,0,14,female,married,0
,0,22,male,single,18
12.5,0,31,male,married,0
3.059999942779541,0,14,female,nan,10
5.130000114440918,0,6,female,nan,6
3.400000095367432,0,1,female,SINGLE,1
6.25,0,7,FEMALE,nan,4
3.5,0,14,female,single,0
3.880000114440918,0,12,male,nan,3
,0,1,man,single,0
4.550000190734863,0,34,male,nan,2
4.380000114440918,0,7,man,married,0
3.289999961853028,0,30,male,single,13
11.5600004196167,0,5,male,married,1
,0,14,female,married,0
8.449999809265137,0,19,male,married,13
3.200000047683716,0,15,female,married,5
3.950000047683716,0,49,male,nan,6
4.809999942779541,0,2,female,single,0
3.0999999046325684,0,2,woman,single,1
2.900000095367432,0,39,female,MARRIED,1
4.0,0,43,female,married,6
4.75,0,48,female,MARRIED,2
17.709999084472656,0,10,MALE,married,3
2.900000095367432,0,15,female,married,1
,0,15,male,married,0
,0,11,male,married,0
10.0,0,24,male,married,24
4.5,0,3,male,single,0
6.0,0,44,male,nan,28
5.110000133514404,0,3,male,single,0
4.5,0,35,female,married,0
7.25,0,14,male,married,5
6.0,0,11,female,married,3
2.900000095367432,0,6,female,single,0
4.380000114440918,0,7,male,married,0
4.0,0,22,female,SINGLE,3
,0,9,male,married,8
3.0,0,1,male,single,0
3.299999952316284,0,25,male,married,8
4.5,0,23,nan,single,2
3.059999942779541,0,14,female,single,10
11.25,0,15,male,single,7
6.179999828338623,0,9,FEMALE,married,3
6.079999923706055,0,42,male,single,10
8.640000343322754,0,28,male,nan,8
2.950000047683716,0,41,male,married,23
22.200000762939453,0,31,male,married,15
3.400000095367432,0,26,female,married,15
,0,3,male,nan,0
2.900000095367432,0,2,female,single,2
3.640000104904175,0,7,man,single,2
3.25,0,29,male,married,0
11.979999542236328,0,8,male,married,10
13.079999923706056,0,17,male,married,2
3.5,0,4,male,SINGLE,0
15.0,0,35,MALE,nan,31
1.9600000381469729,0,38,female,single,3
3.829999923706055,0,18,female,single,2
5.599999904632568,0,31,female,single,15
8.75,0,24,male,single,1
4.570000171661377,0,37,female,married,7
4.909999847412109,0,17,man,married,8
4.5,0,37,male,nan,10
13.329999923706056,0,14,male,married,11
4.0,0,28,female,married,0
8.479999542236328,0,29,male,married,13
2.900000095367432,0,34,female,married,0
8.430000305175781,0,27,man,married,3
11.81999969482422,0,35,male,married,13
9.09000015258789,0,11,male,married,12
10.949999809265137,0,23,male,married,20
5.25,0,44,male,married,7
3.75,0,5,female,married,2
,0,33,female,single,2
6.5,0,33,male,nan,2
15.380000114440918,0,25,male,married,21
3.259999990463257,0,13,female,married,3
6.760000228881836,0,19,male,MARRIED,3
,0,3,male,single,0
,0,19,female,married,0
2.900000095367432,0,37,female,married,0
8.529999732971191,0,14,male,married,6
3.509999990463257,0,39,male,married,15
3.0,0,11,female,married,1
3.450000047683716,0,11,woman,single,0
,0,23,male,married,9
8.75,0,1,male,single,2
,0,11,female,nan,3
3.0,0,33,FEMALE,married,12
7.0,0,26,female,married,3
10.380000114440918,0,16,male,MARRIED,2
2.700000047683716,0,2,female,single,0
2.900000095367432,0,18,female,married,0
4.789999961853027,0,41,male,nan,8
10.920000076293944,0,34,male,nan,5
10.0,0,29,male,married,0
3.0,0,3,female,single,2
3.299999952316284,0,21,female,married,9
19.979999542236328,0,26,male,married,23
4.5,0,2,female,SINGLE,5
3.0,0,3,female,nan,0
3.0,0,32,male,married,0
3.0,0,9,male,nan,0
2.900000095367432,0,4,female,single,0
8.75,0,1,male,single,2
12.390000343322754,0,42,man,single,5
5.050000190734863,0,5,female,single,0
5.699999809265137,0,2,MALE,single,0
11.25,0,15,male,single,7
,0,11,female,nan,0
4.110000133514404,0,5,male,single,0
3.5,0,31,female,SINGLE,3
7.599999904632568,0,41,female,single,11
7.78000020980835,0,11,male,married,10
3.75,0,7,female,married,0
3.049999952316284,0,50,woman,nan,24
6.25,0,9,male,married,2
,0,3,female,alone,1
3.3499999046325684,0,22,female,single,0
3.0,0,26,female,single,1
4.099999904632568,0,6,female,married,0
3.130000114440918,0,6,female,married,5
,0,26,female,married,9
5.949999809265137,0,15,male,married,9
,0,28,male,nan,5
18.15999984741211,0,29,male,married,7
6.429999828338623,0,17,female,married,3
11.979999542236328,0,8,male,married,10
6.670000076293945,0,35,male,single,10
4.5,0,37,female,married,14
,0,3,female,single,0
4.0,0,6,female,nan,0
3.0,0,36,male,married,0
3.0,0,23,female,married,20
1.4299999475479126,0,17,female,married,0
3.75,0,15,male,single,0
1.6699999570846558,0,1,MALE,single,0
6.630000114440918,0,21,female,married,3
3.25,0,42,nan,married,0
3.5999999046325684,0,26,female,single,4
6.360000133514404,0,25,male,nan,0
6.25,0,4,female,SINGLE,0
,0,51,male,single,30
2.9200000762939453,0,1,female,single,0
6.0,0,19,female,married,4
,0,10,female,single,1
21.86000061035156,0,24,male,married,16
3.450000047683716,0,6,female,MARRIED,5
3.369999885559082,0,45,male,married,12
2.75,0,1,female,single,2
4.5,0,22,male,married,5
,0,8,female,married,0
4.380000114440918,0,7,male,single,0
4.679999828338623,0,3,female,single,1
5.519999980926514,0,31,male,single,3
2.890000104904175,0,42,woman,nan,0
,0,24,male,married,5
7.260000228881836,0,8,male,single,2
6.25,0,24,female,married,2
13.0,0,23,male,married,5
6.25,0,8,female,single,2
2.900000095367432,0,26,female,single,1
4.0,0,9,male,single,0
10.0,0,20,female,married,5
5.900000095367432,0,14,male,MARRIED,7
18.15999984741211,0,35,male,married,28
3.049999952316284,0,10,female,married,0
2.900000095367432,0,49,female,SINGLE,6
3.509999990463257,0,7,female,MARRIED,2
2.5,0,2,male,single,0
6.0,0,22,male,SINGLE,8
9.5600004196167,0,3,male,married,3
5.630000114440918,0,2,male,married,2
3.150000095367432,0,1,female,single,0
14.380000114440918,0,10,male,MARRIED,9
18.0,0,13,female,SINGLE,0
3.3299999237060547,0,36,female,married,8
10.0,0,31,male,married,2
2.900000095367432,0,2,female,single,0
18.18000030517578,0,22,male,nan,21
3.849999904632568,0,5,male,married,0
3.049999952316284,0,2,woman,nan,0
2.309999942779541,0,4,female,nan,1
4.0,0,45,female,married,12
13.15999984741211,0,34,male,married,22
,0,21,female,nan,0
6.880000114440918,0,4,male,single,4
5.0,0,2,female,married,1
3.75,0,39,male,MARRIED,13
3.25,0,40,female,SINGLE,2
6.670000076293945,0,7,male,single,5
,0,5,female,married,0
3.0,0,45,female,married,1
20.0,0,22,male,MARRIED,4
3.150000095367432,0,26,man,MARRIED,1
,0,44,male,nan,3
,0,41,male,married,16
24.979999542236328,0,29,male,married,25
