YEAR,AGE,DISTANCE_BUS,DISTANCE_INTERSTATE,PRICE,ROOMS,AREA,LAND,BATHS
1978,1,30000.0,30000.0,75900.0,7,1836,45738.0,2
1981,7,22000.0,22000.0,140000.0,6,1800,44867.0,3
1981,31,3000.0,2000.0,68000.0,6,3304,18731.0,2
81,2,15000.0,17000.0,,7,2744,77101.0,3
1981,0,10000.0,13000.0,216000.0,7,2548,46174.0,3
81,0,25000.0,25000.0,125000.0,7,2208,45738.0,3
78,0,17000.0,17000.0,95920.0,7,2464,48269.0,3
1978,8,21000.0,21000.0,85000.0,8,2004,44080.0,2
1981,20,7000.0,7000.0,86000.0,6,1425,19550.0,1
1981,0,22000.0,24000.0,119600.0,7,2701,48787.0,3
1981,19,5000.0,4000.0,73900.0,6,1592,13068.0,1
1978,28,3000.0,7000.0,53000.0,5,1592,12700.0,2
1978,68,3000.0,6000.0,49000.0,6,1875,9790.0,2
1978,0,14000.0,13000.0,84211.0,7,2756,27205.0,3
81,0,23000.0,25000.0,153000.0,7,2656,43996.0,3
1978,21,4000.0,8000.0,,5,1078,21800.0,2
1978,11,15000.0,15000.0,65000.0,7,2727,44867.0,3
1981,17,21000.0,23000.0,110000.0,6,2204,45302.0,2
81,31,4000.0,4000.0,91000.0,7,2263,10019.0,2
1981,0,11000.0,10000.0,143500.0,6,2144,12806.0,3
1978,4,27000.0,28000.0,73000.0,7,1390,46100.0,2
1981,0,25000.0,26000.0,135900.0,7,2377,43560.0,3
81,1,22000.0,24000.0,194000.0,9,3170,45302.0,3
78,10,14000.0,16000.0,100000.0,7,2252,44000.0,3
1981,41,3000.0,2000.0,54000.0,6,1700,7500.0,1
1978,9,11000.0,13000.0,120000.0,6,3030,47916.0,3
1981,0,24000.0,25000.0,130500.0,6,2330,43995.0,2
1978,12,4000.0,6000.0,61000.0,7,1800,13030.0,2
1978,2,13000.0,13000.0,,7,2030,25120.0,3
1981,0,23000.0,23000.0,,7,2900,43560.0,3
1978,21,4000.0,4000.0,71500.0,5,2106,13370.0,2
1981,0,11000.0,10000.0,,7,2302,13504.0,3
1981,15,6000.0,6000.0,,6,1133,5000.0,1
1981,26,13000.0,14000.0,,6,1526,28314.0,1
1978,0,30000.0,31000.0,75900.0,7,1928,157252.0,3
1981,25,4000.0,5000.0,65000.0,5,912,12005.0,1
1978,56,2000.0,6000.0,40000.0,5,1867,5000.0,1
1981,80,4000.0,1000.0,49000.0,6,1554,6790.0,1
81,0,12000.0,12000.0,189857.0,7,3396,31412.0,4
1978,25,7000.0,7000.0,32000.0,6,2112,12500.0,2
1978,8,16000.0,19000.0,120000.0,7,2171,44064.0,3
1981,2,25000.0,26000.0,113500.0,7,2000,43569.0,3
1978,3,31000.0,32000.0,86000.0,6,1855,50965.0,2
1981,26,21000.0,21000.0,109900.0,7,2632,64904.0,2
78,3,12000.0,12000.0,85500.0,7,2544,26726.0,3
81,0,23000.0,25000.0,148000.0,7,2736,43560.0,3
78,0,24000.0,26000.0,,7,2286,43996.0,3
1978,70,2000.0,3000.0,59000.0,5,2458,9400.0,2
1981,0,23000.0,25000.0,153000.0,7,2656,43996.0,3
1978,58,4000.0,1000.0,34000.0,6,1144,5000.0,1
81,26,9000.0,7000.0,66479.0,5,1104,15512.0,1
1978,21,3000.0,5000.0,48000.0,5,1038,15431.0,1
1978,3,3000.0,6000.0,46000.0,7,1261,10000.0,2
78,12,16000.0,19000.0,75000.0,6,1537,48352.0,2
1978,78,3000.0,2000.0,46000.0,6,1780,9500.0,3
1978,15,26000.0,26000.0,44900.0,5,960,51690.0,1
