price,assess,bdrms,lotsize,sqrft,colonial
300.0,349.1000061035156,4,6126.0,2438,1
370.0,351.5,3,9903.0,2076,1
191.0,217.6999969482422,3,5200.0,1374,0
195.0,231.8000030517578,3,4600.0,1448,1
373.0,319.1000061035156,4,6095.0,2514,1
466.2749938964844,414.5,5,8566.0,2754,1
332.5,367.7999877929688,3,9000.0,2067,1
315.0,300.20001220703125,3,6210.0,1731,1
206.0,236.1000061035156,3,6000.0,1767,0
240.0,256.29998779296875,3,2892.0,1890,0
285.0,314.0,4,6000.0,2336,1
300.0,416.5,5,7047.0,2634,1
405.0,434.0,3,12237.0,3375,1
212.0,279.29998779296875,3,6460.0,1899,0
265.0,287.5,3,6519.0,2312,1
227.3999938964844,232.8999938964844,4,3597.0,1760,1
240.0,303.79998779296875,4,5922.0,2000,0
285.0,305.6000061035156,3,7123.0,1774,1
268.0,266.70001220703125,3,5642.0,1376,1
310.0,326.0,4,8602.0,1835,1
266.0,294.29998779296875,3,5494.0,2048,1
270.0,318.79998779296875,3,7800.0,2124,1
225.0,294.20001220703125,3,6003.0,1768,0
150.0,208.0,4,5218.0,1732,0
247.0,239.6999969482422,3,9425.0,1440,1
275.0,294.1000061035156,3,6114.0,1932,0
230.0,267.3999938964844,3,6710.0,1932,0
343.0,359.8999938964844,3,8577.0,2106,1
477.5,478.1000061035156,7,8400.0,3529,1
350.0,355.29998779296875,4,9773.0,2051,1
230.0,217.8000030517578,4,4806.0,1573,1
335.0,385.0,4,15086.0,2829,0
251.0,224.3000030517578,3,5763.0,1630,1
235.0,251.8999938964844,4,6383.0,1840,1
361.0,354.8999938964844,4,9000.0,2066,1
190.0,212.5,4,3500.0,1702,0
360.0,452.3999938964844,4,10892.0,2750,1
575.0,518.0999755859375,5,15634.0,3880,1
209.00100708007807,289.3999938964844,4,6400.0,1854,1
225.0,268.1000061035156,2,8880.0,1421,0
246.0,278.5,3,6314.0,1662,1
713.5,655.4000244140625,5,28231.0,3331,1
248.0,273.29998779296875,4,7050.0,1656,1
230.0,212.1000061035156,3,5305.0,1171,0
375.0,354.0,5,6637.0,2293,1
265.0,252.1000061035156,3,7834.0,1764,1
313.0,324.0,3,1000.0,2768,0
417.5,475.5,4,8112.0,3733,0
253.0,256.79998779296875,3,5850.0,1536,1
315.0,279.20001220703125,4,6660.0,1638,1
264.0,313.8999938964844,3,6637.0,1972,1
255.0,279.79998779296875,2,15267.0,1478,0
210.0,198.6999969482422,3,5146.0,1408,1
180.0,221.5,3,6017.0,1812,1
250.0,268.3999938964844,3,8410.0,1722,1
250.0,282.29998779296875,4,5625.0,1780,1
209.0,230.6999969482422,4,5600.0,1674,1
258.0,287.0,4,6525.0,1850,1
289.0,298.70001220703125,3,6060.0,1925,1
316.0,314.6000061035156,4,5539.0,2343,0
225.0,291.0,3,7566.0,1567,0
266.0,286.3999938964844,4,5484.0,1664,1
310.0,253.6000061035156,6,5348.0,1386,1
471.25,482.0,5,15834.0,2617,1
335.0,384.2999877929688,4,8022.0,2321,1
495.0,543.5999755859375,4,11966.0,2638,1
279.5,336.5,4,8460.0,1915,1
380.0,515.0999755859375,4,15105.0,2589,1
325.0,437.0,4,10859.0,2709,0
220.0,263.3999938964844,3,6300.0,1587,1
215.0,300.3999938964844,3,11554.0,1694,0
240.0,250.6999969482422,3,6000.0,1536,1
725.0,708.5999755859375,5,31000.0,3662,0
230.0,276.29998779296875,3,4054.0,1736,1
306.0,388.6000061035156,2,20700.0,2205,0
425.0,252.5,3,5525.0,1502,0
318.0,295.20001220703125,4,92681.0,1696,1
330.0,359.5,3,8178.0,2186,1
246.0,276.20001220703125,4,5944.0,1928,1
225.0,249.8000030517578,3,18838.0,1294,0
111.0,202.3999938964844,4,4315.0,1535,1
268.125,254.0,3,5167.0,1980,1
244.0,306.79998779296875,4,7893.0,2090,1
295.0,318.29998779296875,3,6056.0,1837,1
236.0,259.3999938964844,3,5828.0,1715,0
202.5,258.1000061035156,3,6341.0,1574,0
219.0,232.0,2,6362.0,1185,0
242.0,252.0,4,4950.0,1774,1
